Nome;Descrizione;Prezzo;Immagine
Arachidi e Derivati;Snack confezionati, creme e condimenti in cui vi sia anche in piccole dosi;-;arachidi_e_derivati.webp
Frutta a Guscio;Mandorle, nocciole, noci comuni, noci di acagiù, noci pecan, anacardi e pistacchi;-;frutta_a_guscio.webp
Latte e Derivati;Ogni prodotto in cui viene usato il latte: yogurt, biscotti, torte, gelato e creme varie;-;latte_e_derivati.webp
Molluschi;Canestrelli, cannolicchi, capasante, cozza, ostrica, patella, vongola, tellina ecc;-;molluschi.webp
Pesce;Prodotti alimentari in cui è presente il pesce, anche se in piccole percentuali;-;pesce.webp
Sesamo;Semi interi usati per il pane, farine anche se lo contengono in minima percentuale;-;sesamo.webp
Soia;Prodotti derivati come: latte di soia, tofu, spaghetti di soia e simili;-;soia.webp
Crostacei;Marini e d'acqua dolce: gamberi, scampi, aragoste, granchi, e simili;-;crostacei.webp
Glutine;Cereali, grano, segale, orzo, avena, farro, kamut, inclusi ibridati derivati;-;glutine.webp
Lupini;Presenti in cibi vegan sotto forma di: arrosti, salamini, farine e simili;-;lupini.webp
Senape;Si può trovare nelle salse e nei condimenti, specie nella mostarda;-;senape.webp
Sedano;Sia in pezzi che all'interno di preparati per zuppe, salse e concentrati vegetali;-;sedano.webp
Anidride Solforosa e Solfiti;Cibi sott'aceto, sott'olio e in salamoia, marmellate, funghi secchi, conserve ecc;-;anidride_solforosa_e_solfiti.webp
Uova e Derivati;Uova e prodotti che le contengono come: maionese, emulsionanti, pasta all'uovo;-;uova_e_derivati.webp
