Nome;Descrizione;Prezzo;Immagine
Misto burger pizza;Misto di frittura siciliana a fantasia dello chef;18.0;
Misto siciliano;X2. Patatine,panelle,crocchè,arancinette;6.0;
Pata bacon;patatina,bacon croccante,salsa cheddar;6.5;
Pata pig;Patatine, mortadella,pesto di pistacchio;7.5;pata_pig.webp
Pata salsiccia;Patatine, salsiccia, fonduta di formaggi misti;7.5;
Pata porchetta;Patatine, porchetta, fonduta di formaggi misti;7.5;
Mangia e bevi di pizza;Prosciutto crudo, speck, cipolla scalogno;6.0;mangia_e_bevi_di_pizza.webp
Sushi pizza;Pan pizza con crema alle erbe, tartare di salmone, pomodorino, menta. (Gluten free su richiesta);8.5;sushi_pizza.webp
Bruschettone;Pan pizza,bruschetta classica.(Gluten free su richiesta);8.5;
Sfincionello palermitano;Ragù di cipolla, acciughe, pangrattato, caciocavallo, origano, olio evo. (Gluten free su richiesta);6.0;
Sfincionello bagherese;Primosale, acciughe, cipolla, ricotta, pangrattato, caciocavallo, origano, olio evo. (Gluten free su richiesta);7.0;
Crocchettone;Crocchè di patata fresca ripiena di mozzarella, gorgonzola, speck, fonduta di formaggi;6.0;
Nuggets artigianali;10pz Crocchette di pollo;6.0;
Arancinette alla carne;4 pz Arancinette con riso, ragù di carne;5.0;arancinette_alla_carne.webp
Patatine classiche;X2;3.5;
