Nome;Descrizione;Prezzo;Immagine
Birra dello stretto;33 cl;4.0;
Raffo lavorazione grezza;33 cl;4.0;
Alhambra doppio malto;;5.0;
San miguel;Gluten free;3.5;
Tennen's;Gluten free;3.5;
Peroni;Gluten free;3.5;
Daura;Gluten free;3.5;
Paulaner weisse;;5.0;
Ichnusa non filtrata;33 cl;4.0;
Messina cristalli di sale;33 cl;4.0;
Heineken;33 cl;2.5;
Beck's;33 cl;2.5;
Moretti;33 cl;2.5;
Moretti rossa;33 cl;4.0;
Ceres;;4.0;
Acqua naturale;1 l;2.5;
Acqua frizzante;1 l;2.5;
Acqua naturale;50 cl;1.0;
Acqua frizzante;50 cl;1.0;
Coca-cola;;2.5;
Coca-cola zero;;2.5;
Sprite;;2.5;
Fanta;;2.5;
Chinotto;;2.5;
