Nome;Descrizione;Prezzo;Immagine
Gigi Burger;Buns brioches, hamburger di vitello 200gr, pomodoro, cipolla caramellata, lattuga, porhcetta artigianale, emmental, fonduta di formaggi. Contorno patate fritte;10.0;gigi_burger.webp
Box Burger;Buns brioches, hamburger di vitello 150gr, pomodoro, lattuga, mayonese, patatine fritte, 5 nuggets, coca cola;12.0;
Burger Bacon;Buns brioches, hamburger di vitello 150gr, bacon croccante, cheddar, cipolla caramellata, salsa bbq. Contorno patate fritte;9.0;
Porchettone;Buns brioches, lattuga, pomodoro, porchetta artigianale, emmental, cipolla caramellata. Contorno patate fritte;9.0;porchettone.webp
Chicken Burger;Buns brioches, hamburger di pollo 150gr, pomodoro, lattuga, salsa bbq. Contorno patate fritte;7.5;
Burger Pizza;Buns brioches, hamburger di vitello 150gr, prosciutto crudo di Parma, rucola, bufala, crema di noci. Contorno patate fritte;12.5;
Scotta Burger;Buns brioches, hamburger di scottona prussiana 150gr, funghi freschi, provola affumicata, grana, rucola. Contorno patate fritte;12.0;
Vegan Burger;Pan pizza, hamburger vegano 120gr, lattuga, pomodoro. Contorno patate fritte;9.0;
Porchi Burger;Buns brioches, hamburger di vitello 150gr, lattuga, pomodoro, porchetta artigianale, cipolla caramellata, salsa yogurt. Contorno patate fritte;11.0;porchi_burger.webp
Burger Pig;Buns brioches, hamburger di salsiccia e vitello 150gr, mortadella, crema di pistacchio, bufala. Contorno patate fritte;12.5;burger_pig.webp
Salmone;Buns brioches, salmone, misticanza, zeste di lime, pomodori secchi, bufala. Contorno patate fritte;10.0;
Cheese Burger;Buns brioches, hamburger di vitello, lattuga, pomodoro, cheddar, bacon, mayonese. Contorno patate fritte;9.0;cheese_burger.webp
Double Cheese Burger;Buns brioches, doppio hamburger 200gr, doppio bacon, doppio cheddar, doppia lattuga, doppio pomodoro, colata di salsa cheddar. Contorno patate fritte;14.0;
Happy Burger;Menu completo (mini burger  patatine lattina nuggets, gioco e colori);10.0;happy
