Nome;Descrizione;Prezzo;Immagine
Biancaneve;Mozzarella fior di latte;6.0;
Napoli;Pomodoro san marzano D.O.P., acciughe, olio evo, basilico;6.5;
Margherita;Pomodoro san marzano D.O.P., mozzarella fior di latte, olio evo, basilico;6.0;margherita.webp
Marinara;Pomodoro san marzano D.O.P., acciughe, aglio, origano, olio evo;6.0;
Romana;Pomodoro san marzano D.O.P., mozzarella fior di latte, prosciutto cotto scelto;7.5;romana.webp
4 Gusti;Pomodoro san marzano D.O.P., mozzarella fior di latte, prosciutto cotto scelto, carciofi, olive, wurstel, olio evo;8.5;
Capricciosa;Pomodoro san marzano D.O.P., mozzarella fior di latte, prosciutto cotto scelto, carciofi, funghi, salame piccante, olive, wurstel, olio evo;9.0;capricciosa.webp
Diavola;Pomodoro san marzano D.O.P., mozzarella fior di latte, salame piccante, cipolla rossa, olive, olio al peperoncino;8.0;
Sfiziosa;Pomodoro san marzano D.O.P., mozzarella fior di latte, bacon, salame piccante, salsiccia, emmental;9.0;sfiziosa.webp
Parmigiana;Pomodoro san marzano D.O.P., mozzarella fior di latte, melenzane fritte, grana, basilico, olio evo;8.0;parmigiana.webp
4 Formaggi;Mozzarella fior di latte, gorgonzola, emmental, grana;8.0;
Tonnara;Pomodoro san marzano D.O.P., mozzarella fior di latte, tonno, olive, cipolla rossa, origano;8.0;
La sicula;Pomodoro a fette, mozzarella fior di latte, cipolla, acciughe, pangrattato, caciocavallo, origano, olio evo;7.0;
La parma;Pomodoro san marzano D.O.P., mozzarella fior di latte, rucola, prosciutto crudo parma, grana, olio evo;10.0;
American chips;Mozzarella fior di latte, bacon croccante, cheddar, patatine fritte, salsa bbq;8.0;american_chips.webp
Chicken pizza;Mozzarella fior di latte, emmental, birbe di pollo, patatine fritte, salsa bbq;8.5;
Salsiccia e friarielli;Mozzarella fior di latte, salsiccia, friarielli, provolone affumicato;8.5;
Vegetariana;Pomodoro san marzano D.O.P., mozzarella fior di latte, carciofi, pomodorini, zucchine, pesto di rucola;9.0;
La nazareno;Mozzarella fior di latte, prosciutto cotto scelto, salame piccante, gorgonzola, melenzane fritte;9.0;
Schiacciata;Mozzarella fior di latte, pomodoro a fette, prosciutto cotto scelto, olio evo;7.0;
Porchettona;Mozzarella fior di latte, porchetta artigianale, patate fresche, cipolla caramellata, emmental, salsa yogurt;10.0;
