Nome;Descrizione;Prezzo;Immagine
La solita;Mozzarella fior di latte, mortadella, burrata al centro, pesto di pistacchio, granella di pistacchio;12.0;
Burrata e lime;Mozzarella fior di latte, valeriana, salmone baffo, zeste di limone, burrata, aceto balsamico al centro;13.0;
4 Spicchi;Mozzarella di bufala, rucola, crudo, grana - Mortadella, pesto di pistacchio - Bresaola, pomodorini, grana - speck, noci, miele;12.0;
Norvegese;Bordo ripieno di crema al salmone, mozzarella fior di latte, salmone baffo, bufala, pomodorini, granella di pistacchio;12.0;
Pistacchiosa;Mozzarella fior di latte, mortadella, bufala stracciata, pesto di pistacchio, granella di pistacchio;10.5;
Gigi;Mozzarella fior di latte, prosciutto crudo di Parma, pomodorini, bufala stracciata, pesto di pistacchio, granella di pistacchio;11.5;
Quadrotta;Bordo ripieno di ricotta e salsiccia, mozzarella di bufala D.O.P., friarielli, salsiccia, grana;11.0;
Sandra;Pomodoro a fette condito, mozzarella fior di latte, speck, ricotta, granella di pistacchio, grana;9.0;
Marlena;Mozzarella fior di latte, brie, speck, noci, miele;10.0;
Bouquet;Bordo ripieno di ricotta e grana, mozzarella fior di latte, funghi, pomodorini, prosciutto crudo di Parma, grana;11.5;bouquet.webp
La regina;Mozzarella fior di latte, carciofi spinosi D.O.P., bignè di philadelphia, noci, grana;13.5;
Duchessa;Bordo ripieno di philadelphia e pistacchio, mozzarella fior di latte, mortadella, pesto e granella di pistacchio, burrata;13.0;duchessa.webp
Burger pizza;Scegli il condimento della pizza e dell'hamburger (il prezzo varia in base agli ingredienti scelti);13.0;
Bignè;Bordo ripieno con crema di pistacchio e philadelphia, mozzarella fior di latte, bresaola, bufala, pomodori secchi, granella di pistacchio;11.0;
